Sigla,Código,Município,Produção - algodão - herbáceo (caroço) (2001),Produção - arroz (2001),Produção - café (2001),Produção - cana-de-açúcar (2001),Produção - laranja (2001),Produção - mandioca (2001),Produção - milho (2001),Produção - soja (2001),
PR,4114005,Mamborê,863.55639469802,116.809560635481,,304.53921165679,,475.581782587316,24993.0742059702,117420.724943806,
PR,4114104,Mandaguaçu,,27.1165051475224,93.8648255106544,23564.2429731969,3318.64305305447,64.6624353517841,5227.22783843778,10437.7685967848,
PR,4114203,Mandaguari,,60.4906653290884,56.3188953063926,1268.21808689951,,41.7177002269575,1966.98956570105,7096.18080860547,
PR,4114302,Mandirituba,,25.0306201361745,,,,125.153100680872,4054.96046206027,83.435400453915,
PR,4114351,Manfrinópolis,,37.5459302042618,,317.054521724877,375.459302042617,175.214340953221,7694.82980686231,,
PR,4114401,Mangueirinha,,379.631072065313,,14.6011950794351,37.5459302042618,335.827486827008,21722.4065081768,32754.6523331957,
PR,4114500,Manoel Ribas,,279.508591520615,,85.5212854652629,,385.888727099357,14715.9187550593,19296.5222399792,
PR,4114609,Marechal Cândido Rondon,152.269605828395,81.3495154425671,,,58.4047803177405,7940.96423820136,32984.099684444,38394.8854038803,
PR,4114708,Maria Helena,763.433914153322,93.8648255106544,204.416731112092,,175.214340953221,621.593733381667,3183.06052731686,100.122480544698,
PR,4114807,Marialva,4.17177002269575,29.2023901588703,66.748320363132,13725.123374669,219.017926191527,2.08588501134787,11203.2883959494,44360.5165363353,
PR,4114906,Marilândia do Sul,,204.416731112092,50.061240272349,,285.766246554659,139.754295760308,17513.0905552768,16895.6685919178,
PR,4115002,Marilena,,29.2023901588703,780.120994244105,7930.53481314462,156.441375851091,3529.3174392006,669.569088642668,,
PR,4115101,Mariluz,2281.95820241458,75.0918604085235,14.6011950794351,4538.88578469298,95.9507105220023,1472.6348180116,3206.00526244168,7208.81859921826,
PR,4115200,Maringá,14.6011950794351,70.9200903858277,125.153100680872,4015.32864684466,233.619121270962,70.9200903858277,13493.5901384094,40889.6038774524,
PR,4115309,Mariópolis,,60.4906653290884,,12.5153100680873,56.3188953063926,73.0059753971756,10884.1479892132,11247.0919811877,
PR,4115358,Maripá,,29.2023901588703,,,,7242.19275939982,10466.9709869436,37573.0467094093,
PR,4115408,Marmeleiro,,60.4906653290884,,356.686336940487,563.188953063926,438.035852383054,19021.1854184813,7957.65131829214,
PR,4115457,Marquinho,,235.70500628231,,,22.9447351248266,166.87080090783,5300.23381383495,638.28081347245,
PR,4115507,Marumbi,18.7729651021309,179.386110975917,183.557880998613,8652.25102707099,,64.6624353517841,3950.66621149288,844.783429595889,
PR,4115606,Matelândia,27.1165051475224,43.8035852383054,,235.70500628231,56.3188953063926,287.852131566007,7857.52883774745,15619.1069649729,
PR,4115705,Matinhos,,,,16.687080090783,4.17177002269575,10.4294250567394,,,
PR,4115739,Mato Rico,173.128455941874,171.042570930526,,120.981330658177,87.6071704766107,269.079166463876,9184.15170496469,5383.66921428887,
PR,4115754,Mauá da Serra,,43.8035852383054,,,,214.846156168831,4148.82528757092,3535.57509423465,
PR,4115804,Medianeira,,37.5459302042618,,56.3188953063926,60.4906653290884,521.471252836969,9363.53781594061,15652.4811251545,
PR,4115853,Mercedes,14.6011950794351,2.08588501134787,,,39.6318152156096,4002.81333677657,4559.74463480645,10345.9896562855,
PR,4115903,Mirador,22.9447351248266,14.6011950794351,152.269605828395,2434.22780824297,1631.16207887404,3160.11579219203,873.98581975476,727.973868960408,
PR,4116000,Miraselva,212.760271157483,10.4294250567394,58.4047803177405,2286.12997243727,83.435400453915,25.0306201361745,429.692312337662,577.790148143361,
PR,4116059,Missal,12.5153100680873,6.25765503404363,,33.374160181566,22.9447351248266,2085.88501134788,16361.6820290127,23603.8747884126,
PR,4116109,Moreira Sales,1362.08291241016,350.428681906443,22.9447351248266,17876.0345472513,,1814.71995987265,2173.49218182449,4816.30849120224,
PR,4116208,Morretes,,70.9200903858277,,613.250193336275,104.294250567394,571.532493109318,68.8342053744799,,
PR,4116307,Munhoz de Melo,154.355490839743,60.4906653290884,47.9753552610011,2697.0493196728,375.459302042617,37.5459302042618,1987.84841581452,5444.15987961795,
PR,4116406,Nossa Senhora das Graças,237.790891293658,8.3435400453915,64.6624353517841,23021.9128702465,189.815536032657,246.134431339049,536.072447916404,1391.28530256903,
PR,4116505,Nova Aliança do Ivaí,,,25.0306201361745,755.090374107931,1633.24796388539,1664.5362390556,198.159076078048,,
PR,4116604,Nova América da Colina,79.2636304312193,27.1165051475224,100.122480544698,2536.43617379902,187.729651021309,22.9447351248266,682.084398710755,6833.35929717564,
PR,4116703,Nova Aurora,821.838694471063,702.943248824234,29.2023901588703,,254.477971384441,3051.64977160194,21668.1734978817,56172.8833555983,
PR,4116802,Nova Cantu,1716.6833643393,292.023901588703,,,,1147.23675624133,6768.69686182385,25316.3863827292,
PR,4116901,Nova Esperança,707.11501884693,4.17177002269575,183.557880998613,3041.2203465452,7379.86117014878,4171.77002269575,3128.82751702181,3153.85813715799,
PR,4116950,Nova Esperança do Sudoeste,,25.0306201361745,,158.527260862439,563.188953063926,575.704263132013,8199.6139796085,661.225548597276,
PR,4117008,Nova Fátima,210.674386146135,143.926065783003,164.784915896482,2229.81107713088,,16.687080090783,5252.25845857395,10629.6700178288,
PR,4117057,Nova Laranjeiras,,707.11501884693,,,35.4600451929139,475.581782587316,17135.5453682228,2248.58404223301,
PR,4117107,Nova Londrina,,14.6011950794351,296.195671611398,5963.54524744358,335.827486827008,3587.72221951834,385.888727099357,,
PR,4117206,Nova Olímpia,233.619121270962,37.5459302042618,135.582525737612,2346.62063776636,,158.527260862439,688.342053744799,,
PR,4117214,Nova Santa Bárbara,133.496640726264,47.9753552610011,2.08588501134787,,2.08588501134787,16.687080090783,903.18820991363,6570.53778574581,
PR,4117222,Nova Santa Rosa,,206.50261612344,,,91.7789404993065,6109.55719823793,10473.2286419777,11457.7663673339,
PR,4117255,Nova Prata do Iguaçu,,20.8588501134787,,,321.226291747573,1435.08888780734,16276.1607435475,17354.5632944143,
PR,4117271,Nova Tebas,1070.05901082146,308.710981679485,20.8588501134787,521.471252836969,125.153100680872,513.127712791577,5665.26369082083,1216.07096161581,
