Valor da produção - total
Sigla;Código;Município;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;
AL;2700201;Anadia;47399,1994190187;42352,8203512604;44635,1254240238;30016,6440893471;60179,4501704101;35474,261269388;30031,550810734;29630,3892330989;41284,5894545253;25742,4881051542;40586,7119041065;41119,0512287007;42755,6786816273;31642,1649193762;27188,3607808907;26528,9142516666;28955,9972436083;27338,4628585695;28678,6530505588;29031,4330728425;23934;32434,8750111394;28467,580640494;26547,9689230734;24444,5125734872;12085,0281198975;11389,7322529747;8174,6157072941;9468,6298173142;17658,9844523271;20616,1598935611;18357,1966496242;17773,1995980045;
AL;2700300;Arapiraca;324550,233137869;19416,9916557297;65238,5455834596;71609,2346804301;82202,8835484964;27258,1892891225;34726,3454858371;43309,4865876335;61724,7485694771;89676,7394483683;30830,008591934;24844,9763701645;54017,3717068067;31022,742441346;26242,6249165105;19646,0397359032;16299,3677607899;14737,4565520918;23104,1875050692;22292,9225952612;26952;24751,983432205;55876,3400452082;29396,0878545868;26038,6397325935;21571,5900301541;18515,1345402317;27606,0792738128;25424,5798842545;20570,0283432402;28602,0392205956;25085,7569168253;24838,7096493873;
AL;2700409;Atalaia;60571,6835243622;61583,4909394736;62580,0255454633;41841,2353874806;81503,846042455;48282,7830514636;28651,9273290236;28363,2557827184;28054,3630079868;21441,7427317797;46110,6945521597;34669,494773613;43185,0212294833;44984,7249098493;64925,0761537082;56136,0628740195;55924,923865912;57182,9514791746;68391,0478602238;66249,912423435;58054;75647,2165318293;59866,163199419;58112,7640981365;59660,6330957343;38558,6599728314;30169,4049657301;27206,4966660679;29170,6881742761;34539,2183096329;28225,7799223616;41191,542010413;34234,5954373059;
AL;2700508;Barra de Santo Antônio;14140,6863480673;12023,9772370405;14073,7353157146;7027,9363772048;8864,8291318008;5282,00682910899;5061,53003100082;7003,00619058926;11440,6181592001;10983,1119374371;16043,7044052775;14957,8814163756;12735,8957558709;11469,3065286883;13360,83706443;10392,6370692562;10782,720849439;9482,39646927791;9940,02487061522;9825,32292000668;8417;10862,4011436845;6999,5096879015;9028,0596745291;9071,9925047151;7738,4778858769;6910,9804591682;5113,1887753686;7083,4650423794;8296,5593694697;7056,04919591484;8609,32683557582;7369,49079782756;
AL;2700607;Barra de São Miguel;3837,1771937734;3649,0780484854;3969,1213113908;2919,8298853637;5074,6998330171;3096,11105257172;2954,25703362037;4106,70116114803;3944,86316000329;3771,49621988831;6271,19893595905;5556,79767023074;5176,807269503;5962,77390813482;5200,00193405122;4280,75957344032;4331,14037118269;4084,31572428721;4766,97669377391;4822,67008918447;4107;5609,3786630143;4165,1530034312;4662,800295419;4396,5746729633;3476,2800782976;2913,0918182945;1978,9435734253;6211,5008022915;9291,6295742192;7592,20550307582;8746,56817861433;7940,47584914115;
AL;2700706;Batalha;2516,0201810741;1863,979749179;3419,8885016604;117,8087684641;2572,1840839587;2210,03027249273;2025,7762516254;3296,16803723723;2178,42965624203;2712,99791291586;1796,93101260742;2913,98136085298;3770,99538714255;591,115536829897;2540,50614549189;677,49924700618;607,572101836204;612,584075164243;908,715840331322;567,054059497185;727;2395,7106041017;164,2113709772;295,9497884142;173,3548738501;315,4643590485;3,1719205339;302,8995265447;6,4416431437;274,1921286944;32,7181998464378;988,231031335142;658,696610400923;
AL;2700805;Belém;861,9812145201;1059,1234193724;1419,0606697747;706,5339010732;1255,7287665212;1192,93365722696;1432,01424683864;1558,92537498843;1135,5643952751;834,40181855936;440,2029490684;321,226291747573;516,730854056813;521,180740923261;542,407333982757;490,50370112337;540,213775690283;474,62609129461;401,417368648279;459,714954544563;549;552,0751218701;1076,7818544805;1024,6863641869;382,1184027844;456,0517364506;425,6717356436;314,5259730181;538,755608382;843,9274124979;770,460835093536;984,963380310415;884,424887463903;
AL;2700904;Belo Monte;2301,6076085512;1749,4577312013;3303,4784413151;1128,5738544174;3232,953162209;1972,13309807464;1661,95149379038;2480,23135916703;3035,89664859261;2658,16579341053;1907,54611262973;2060,8543912117;3643,71241941532;203,143930966894;2290,16429903831;530,779664851975;482,285615204791;482,220108755323;826,105309392111;500,915823112236;604;209,5669776998;212,1063541788;3664,3675414946;1631,7488551333;2231,5674442258;55,1914172891;470,5651230563;374,7865101788;337,6833388224;292,352947014944;841,186735222449;613,550954988327;
AL;2701001;Boca da Mata;64407,096899957;59980,6808614964;63793,6884037513;38876,6204134166;78322,764590478;46265,8287466146;39092,2425798574;39837,7030402156;54978,3115726046;36947,3125258085;54438,4313681254;55659,7556428067;57759,8709071446;50629,4620080278;43785,0980087392;37345,8873673491;39718,5105952035;41613,9500151346;44026,7588761804;42646,1516676917;38364;50846,3033647429;43098,6427410478;41035,188404319;3323,9874960356;36118,6117347997;34936,1671440108;24889,7742266776;34629,6879365992;36379,3396651126;34484,9826381455;31939,8883448338;33743,1527312431;
AL;2701100;Branquinha;37060,6641655624;34049,1541198343;38108,7167349478;24022,4567766108;47945,2839348193;28458,0185166225;24614,9278160862;22908,3678587988;21228,1017565712;22898,3699064647;25901,9930133888;31526,0660615118;18754,2904090031;15951,793923466;15705,0875648626;14939,5056887605;13696,6420385115;15214,61398254;16359,2121831734;16029,3063395916;13825;17550,0803791808;16356,9920309283;13853,1550152076;14455,5834381524;20499,0112093891;27696,575717535;33035,0178586704;21481,1230724669;21593,7538729147;30511,8322084063;37197,5388436187;28562,151324369;
