,0
279,"""Fred Costa"""
280,"""Gil Cutrim"""
281,"""Alcides Rodrigues"""
282,"""Manuel Marcos"""
283,"""Fabiano Tolentino"""
284,"""Bruna Furlan"""
285,"""Marcos Pereira"""
286,"""Neri Geller"""
287,"""Carlos Sampaio"""
288,"""Flaviano Melo"""
289,"""Altineu Côrtes"""
290,"""Fabio Reis"""
291,"""Otto Alencar Filho"""
292,"""Olival Marques"""
293,"""Roberto Pessoa"""
294,"""Silas Câmara"""
295,"""Luiz Carlos"""
296,"""Cezinha de Madureira"""
297,"""Cleber Verde"""
298,"""Nilson Pinto"""
299,"""Ottaci Nascimento"""
300,"""Ossesio Silva"""
301,"""Jerônimo Goergen"""
302,"""Dr. Agripino Magalhães"""
303,"""Margarete Coelho"""
304,"""Alan Rick"""
305,"""Dr. Leonardo"""
306,"""Walter Alves"""
307,"""Stefano Aguiar"""
308,"""Enrico Misasi"""
309,"""Francisco Jr."""
310,"""Dulce Miranda"""
311,"""Jose Mario Schreiner"""
312,"""Maria Rosas"""
313,"""Gustinho Ribeiro"""
314,"""André Abdon"""
