"","codigo_do_municipio","Year","UF","index_centrao","producao_valor_total_bruto","populacao","taxa_analfabetismo","vab_pub","vab_total","vab_agro","vab_ind","vab_serv","shift_share_iv","pib_per_capita","share_GDP_agro","share_GDP_ind","share_GDP_serv","share_GDP_pub","share_GDP_other","hhi_sectors","diversification_index","producao_milhoes","shift_share_iv_milhoes","index_centrao_pct","ln_pop","year_factor","shift_share_iv_new_2_milhoes"
"32812",5216809,2002,"GO",0.493,10207.334113409,10305,18.1,9597.772,33065.657,9135.211,3400.872,10931.802,0.0114521271144451,3468.36,0.276274897547023,0.102852092126886,0.330608945710651,0.290264064615441,0,0.28046187406048,0.71953812593952,0.010207334113409,1.14521271144451e-08,49.3,9.24038449332456,"2002",0.0044481036854012
"32813",5216809,2006,"GO",0.438,9156.69085627644,10115,14,15061.564,46033.059,8383.103,3957.766,18630.626,0.0107936566596538,4874.19,0.182110491505681,0.085976602163241,0.404722745016793,0.327190161314285,1.11022302462516e-16,0.311410109230773,0.688589890769227,0.00915669085627644,1.07936566596538e-08,43.8,9.22177474960185,"2006",0.00357849689445038
"32814",5216809,2010,"GO",0.495,6778,NA,9.9,24596.656,88070.848,18474.121,15390.736,29609.334,0.0124779457116715,9485.15,0.209764313839694,0.174754034388314,0.336199033759729,0.279282606657767,1.13544948998623e-08,0.265568604578163,0.734431395421837,0.006778,1.24779457116715e-08,49.5,NA,"2010",0.00405870606120324
"32815",5216809,2014,"GO",0.355,9111.8272416849,10546,9.31333333333333,36559.862,114302.168,24798.874,10124.932,42818.499,0.0150038966901919,11683.92,0.21695891192545,0.0885804020795126,0.37460793394575,0.319852743300547,8.74874039880069e-09,0.297554538668432,0.702445461331568,0.0091118272416849,1.50038966901919e-08,35.5,9.26350192009041,"2014",0.00496045419524889
"32816",5216809,2018,"GO",0.248,4582.350690858,10301,8.72666666666667,44512.267,141822.84,31764.445,7288.501,58257.627,0.0162774787885777,14656.7,0.223972704255535,0.0513915882660367,0.410777467155502,0.313858240322927,0,0.320049990137337,0.679950009862663,0.004582350690858,1.62774787885777e-08,24.8,9.23999625688369,"2018",0.00550104704558806
"32817",5216809,2022,"GO",0.65,8375.59397559398,NA,8.14,48202.248,167006.105,57808.442,8218.568,52776.847,0.0289974303465989,17458.09,0.346145681321051,0.049211183028309,0.31601747133735,0.28862566431329,0,0.305410389523001,0.694589610476999,0.00837559397559398,2.89974303465989e-08,65,NA,"2022",0.0140155881364648
"32818",5216908,2002,"GO",0.42,1675.57578411069,3022,10.8,3731.116,11688.37,5826.809,445.037,1685.409,0.00216196106948485,4199.94,0.498513394083178,0.0380751978248464,0.144195383958584,0.319216109688519,-8.55551287592959e-08,0.372656558209375,0.627343441790625,0.00167557578411069,2.16196106948485e-09,42,8.01367414283268,"2002",0.0014302702764632
"32819",5216908,2006,"GO",0.643,990.167394345032,2226,11,4956.282,14055.012,5331.894,908.475,2858.36,0.00203765337760906,6691.86,0.379358907697838,0.0646370846214859,0.203369445718011,0.352634490813668,7.11489964722034e-08,0.313801349121133,0.686198650878867,0.000990167394345032,2.03765337760906e-09,64.3,7.70796153183549,"2006",0.00118217431302424
"32820",5216908,2010,"GO",0.869,1146,NA,11.2,7697.254,24763.323,12583.943,877.869,3604.257,0.00235561765829092,9460.88,0.508168592720775,0.0354503715030491,0.145548196419358,0.310832839356818,0,0.377293378971067,0.622706621028933,0.001146,2.35561765829092e-09,86.9,NA,"2010",0.00131899121179012
"32821",5216908,2014,"GO",0.895,606.3732183181,2658,10.3266666666667,13263.199,98084.684,21286.202,46664.655,16870.628,0.00283247297297741,42473.68,0.217018612202492,0.47575883508989,0.172000635695579,0.135221917012038,-2.22044604925031e-16,0.321312732728479,0.678687267271521,0.0006063732183181,2.83247297297741e-09,89.5,7.88532923927319,"2014",0.00147484513994822
"32822",5216908,2018,"GO",0.425,105.4087059878,2314,9.45333333333333,15247.112,159194.77,23412.058,87656.999,32878.601,0.00307290297239909,75099.46,0.147065497189386,0.550627379278854,0.206530660523584,0.0957764630081755,0,0.376646815877725,0.623353184122275,0.0001054087059878,3.07290297239909e-09,42.5,7.74673290775362,"2018",0.00147553040827168
"32823",5216908,2022,"GO",0.666,269.154097983667,NA,8.58,21165.86,178921.662,42466.28,85951.755,29337.767,0.00547420709689557,90276.06,0.237345660247667,0.480387640262362,0.163969899854831,0.118296799635139,0,0.327985508217562,0.672014491782438,0.000269154097983667,5.47420709689557e-09,66.6,NA,"2022",0.00310965284344449
"32824",5217104,2002,"GO",0.426,62942.3774140085,23790,13.2,26326.54,136683.257,45211.703,10617.981,54527.034,0.0468362232850136,6291.42,0.330777185094441,0.0776831137408439,0.398929870393709,0.192609838087192,-7.31618499116848e-09,0.31169180355979,0.68830819644021,0.0629423774140085,4.68362232850136e-08,42.6,10.077020603297,"2002",0.0286876719370972
"32825",5217104,2006,"GO",0.484,92217.589993334,24377,12,40439.343,232522.544,61625.604,37914.196,92543.402,0.0441432502731887,10366.07,0.265030663005304,0.163056000281848,0.397997546422854,0.173915794590653,-4.30065827394799e-09,0.285477262127655,0.714522737872345,0.092217589993334,4.41432502731887e-08,48.4,10.1013953437821,"2006",0.0234154167234479
"32826",5217104,2010,"GO",0.533,88550,NA,10.8,57778.654,367890.639,131388.234,51025.252,127698.499,0.0510315547190327,16386.94,0.357139378042179,0.138696793532711,0.347109943724336,0.157053884700774,0,0.291936571616526,0.708063428383474,0.08855,5.10315547190327e-08,53.3,NA,"2010",0.0299912947286658
"32827",5217104,2014,"GO",0.626,145092.127969987,24768,9.4,86512.491,613107.312,256411.405,62417.367,207766.049,0.0613620376812555,26472.52,0.418216191491123,0.10180496265228,0.338873872376847,0.141104973479749,0,0.320015148166373,0.679984851833627,0.145092127969987,6.13620376812555e-08,62.6,10.1173077763895,"2014",0.0421378056781986
"32828",5217104,2018,"GO",0.516,178882.087684809,24499,8,111601.582,732057.543,294333.445,63351.257,262771.26,0.0665706574368426,31868.68,0.402063263761767,0.0865386302016425,0.35894891393804,0.152449193464563,-1.36601285838367e-09,0.321228881989235,0.678771118010765,0.178882087684809,6.65706574368426e-08,51.6,10.1063875793733,"2018",0.0489316934944227
"32829",5217104,2022,"GO",0.199,429527.374478258,NA,6.59999999999999,128011.622,1163040.811,622058.008,93031.953,319939.228,0.118591953165789,50483.15,0.53485484096224,0.0799902738752647,0.275088565228344,0.110066319934151,0,0.380256458318619,0.619743541681381,0.429527374478258,1.18591953165789e-07,19.9,NA,"2022",0.0980015501695651
"32830",5217203,2002,"GO",0.436,2334.78757219053,12177,NA,12520.44,54480.674,17209.571,3665.121,21085.543,0.00389466320198501,4899.42,0.315883959144852,0.067273782259008,0.387027939485477,0.229814337465796,-1.8355132747061e-08,0.306913693071676,0.693086306928324,0.00233478757219053,3.89466320198501e-09,43.6,9.40730420550701,"2002",0.00173436044592325
"32831",5217203,2006,"GO",0.381,2776.51020373485,11900,NA,18048.765,80337.81,16963.892,6074.247,39250.907,0.00367072920053342,7417.13,0.211157013117485,0.0756088198072614,0.488573275771396,0.224660903751297,-1.2447439079466e-08,0.339480345293687,0.660519654706313,0.00277651020373485,3.67072920053342e-09,38.1,9.38429367909962,"2006",0.00143307944707551
"32832",5217203,2010,"GO",0.717,3259,NA,NA,24895.504,133858.531,34569.496,12967.622,61425.909,0.00424352572355885,12914.33,0.258253962162486,0.0968755738100846,0.458886770541356,0.185983693486073,0,0.321246988194253,0.678753011805747,0.003259,4.24352572355885e-09,71.7,NA,"2010",0.00166096085522297
"32833",5217203,2014,"GO",0.769,25008.1003335784,11238,NA,42582.871,272589.683,72565.961,26084.848,131356.002,0.0051025563846535,26689.74,0.266209491868406,0.0956927192288492,0.481881781270497,0.15621600396373,3.66851748978547e-09,0.336638081089069,0.663361918910931,0.0250081003335784,5.1025563846535e-09,76.9,9.32705617167214,"2014",0.00189607601331627
"32834",5217203,2018,"GO",0.206,33134.6411233391,10501,NA,49051.476,323759.52,85605.775,34919.995,154182.274,0.00553567883288704,34523.7,0.264411607108881,0.107857816814159,0.476224680590087,0.151505895486872,0,0.331290789392228,0.668709210607772,0.0331346411233391,5.53567883288704e-09,20.6,9.25922576970599,"2018",0.00185219373772075
"32835",5217203,2022,"GO",0.646,177185.948528865,NA,9.77,53197.34,553169.872,205014.497,116705.08,178252.954,0.00986150640788576,59972.94,0.370617612016296,0.210975119772973,0.322239086079511,0.0961681803234577,1.80776293934315e-09,0.294954263003965,0.705045736996035,0.177185948528865,9.86150640788576e-09,64.6,NA,"2022",0.0033399152386847
"32836",5217302,2002,"GO",0.395,14683.1351875188,21244,16.5,20112.365,87645.986,22397.254,12865.647,32270.72,0.0120662493892552,4470.8,0.255542267503272,0.14679105783578,0.368193929611334,0.229472745049614,0,0.275073975664502,0.724926024335498,0.0146831351875188,1.20662493892552e-08,39.5,9.96382978154229,"2002",0.0053077883185327
"32837",5217302,2006,"GO",0.449,18523.5396901282,21240,13.75,31084.536,106494.052,20361.962,7190.954,47856.599,0.0113724683437282,5364.48,0.191202810087459,0.0675244660612595,0.449382835015049,0.291889879446037,9.39019584311751e-09,0.328262702231384,0.671737297768616,0.0185235396901282,1.13724683437282e-08,44.9,9.96364147535587,"2006",0.00440294947580825
"32838",5217302,2010,"GO",0.711,14313,NA,11,51722.633,227122.136,40801.76,45719.178,88878.566,0.0131470776841715,10611.08,0.179646778242698,0.201297763420119,0.391324982959829,0.227730479780271,-4.40291758607714e-09,0.277790168200386,0.722209831799614,0.014313,1.31470776841715e-08,71.1,NA,"2010",0.00505338570014236
"32839",5217302,2014,"GO",0.444,26838.2851932465,24279,9.67,79515.521,369216.744,68250.169,59887.998,161563.056,0.0158084832158493,16422.19,0.184851229282278,0.162202822524214,0.437583231599052,0.215362716594456,0,0.298339916877605,0.701660083122395,0.0268382851932465,1.58084832158493e-08,44.4,10.0973670581638,"2014",0.00618792646627628
"32840",5217302,2018,"GO",0.343,23815.3403061743,24749,8.34,99845.055,418221.194,77450.066,26865.311,214060.763,0.0171503613720418,18025.57,0.185189242226686,0.0642370864638677,0.511836238983144,0.238737434717381,-2.39107933452942e-09,0.357393356985707,0.642606643014293,0.0238153403061743,1.71503613720418e-08,34.3,10.1165403631402,"2018",0.0069061400662572
"32841",5217302,2022,"GO",0.301,36242.502206609,NA,7.01000000000001,116833.721,596899.108,169945.101,48615.964,261504.321,0.0305524225074562,25391.73,0.284713276870905,0.0814475400422277,0.438104727407299,0.195734454004244,1.67532498984713e-09,0.317943080466462,0.682056919533538,0.036242502206609,3.05524225074562e-08,30.1,NA,"2022",0.0155863721949732
"32842",5217401,2002,"GO",0.362,11105.9138706475,27091,9.4,31307.988,154712.722,15374.822,34450.502,73579.411,0.00932776536790778,6699.47,0.0993765852041566,0.222674008670082,0.475587334052593,0.202362078536761,-6.46359255007667e-09,0.326593142965014,0.673406857034986,0.0111059138706475,9.32776536790778e-09,36.2,10.2069568483882,"2002",0.00607230044203226
"32843",5217401,2006,"GO",0.341,7160.19006931136,29258,8.05,44885.515,255034.596,15958.876,47124.938,147065.268,0.00879144073209009,10264.85,0.0625753378180896,0.184778609408741,0.57664830696146,0.175997749732746,-3.92103682855804e-09,0.401557285230585,0.598442714769415,0.00716019006931136,8.79144073209009e-09,34.1,10.283908319538,"2006",0.00513804972711146
"32844",5217401,2010,"GO",0.389,6217,NA,6.7,65921.885,360848.052,34965.968,84006.099,175954.1,0.010163295317003,14360.24,0.0968994229183202,0.2328018636498,0.487612719605315,0.182685993826565,1.11022302462516e-16,0.334726542542015,0.665273457457985,0.006217,1.0163295317003e-08,38.9,NA,"2010",0.00630675345798832
"32845",5217401,2014,"GO",0.575,8948.0622119202,30469,6.19333333333334,101908.197,592785.452,62404.608,111577.932,316894.714,0.0122206841167445,21904.46,0.10527351470832,0.188226501887904,0.534585848776869,0.171914132939956,1.6869511343387e-09,0.361848227728982,0.638151772271018,0.0089480622119202,1.22206841167445e-08,57.5,10.3244650522748,"2014",0.00880038609774052
"32846",5217401,2018,"GO",0.313,12974.6404992524,31225,5.68666666666667,126570.217,754356.513,73354.938,159329.014,395102.344,0.013258017607003,27452.67,0.0972417374753945,0.211211822598793,0.523760764560404,0.167785675365409,0,0.356543760863462,0.643456239136537,0.0129746404992524,1.3258017607003e-08,31.3,10.3489743349938,"2018",0.0102950933057653
"32847",5217401,2022,"GO",0.487,81481.4586403909,NA,5.18000000000001,164727.397,1236095.688,220739.147,379110.97,471518.174,0.0236184268513885,44033.84,0.178577717844122,0.306700341794251,0.381457664303413,0.133264276058214,1.11022302462516e-16,0.28922441789626,0.71077558210374,0.0814814586403909,2.36184268513885e-08,48.7,NA,"2022",0.0227924400110214
"32848",5217609,2002,"GO",0.513,18020.9885352313,80770,14.3,70756.058,158493.104,10315.392,12802.949,64618.705,0.0244082271467927,2030.52,0.0650841692140751,0.0807792180030748,0.407706728994342,0.446429883788509,0,0.376285649150161,0.623714350849839,0.0180209885352313,2.44082271467927e-08,51.3,11.2993608884363,"2002",0.0200157895814203
"32849",5217609,2006,"GO",0.259,22031.5613158077,98491,12.05,132771.86,278749.263,14470.34,18770.395,112736.669,0.0230048113211226,3012.08,0.0519116708839514,0.0673379179481454,0.404437550028608,0.476312864726749,-3.58745344541944e-09,0.3976728937449,0.6023271062551,0.0220315613158077,2.30048113211226e-08,25.9,11.4977204524273,"2006",0.0165484142867336
