percentage_votos_centrao,ibge,municipio,pib_per_capita,uf,taxa_analfabetismo,Year
0.2692267557132422,1400050,ALTO ALEGRE,3464.56,RR,21.0,2002
0.2692267557132422,1400050,ALTO ALEGRE,3464.56,RR,12.4,2002
0.2692267557132422,1400050,ALTO ALEGRE,3464.56,RR,7.9,2002
0.1614715476621964,1400175,CANTA,4105.73,RR,22.2,2002
0.228990662516674,1400209,CARACARAI,4623.69,RR,16.1,2002
0.2487411883182275,1400233,CAROEBE,4206.11,RR,22.7,2002
0.2838857893009517,1400308,MUCAJAI,4533.6,RR,21.5,2002
0.2047270306258322,1400407,NORMANDIA,5299.68,RR,23.5,2002
0.2229862475442043,1400456,PACARAIMA,6336.6,RR,12.3,2002
0.3761322103924996,1400472,RORAINOPOLIS,3733.02,RR,21.3,2002
0.3820342537574275,1400506,SAO JOAO DA BALIZA,4473.46,RR,15.1,2002
0.2462245567957977,1400704,UIRAMUTA,3090.14,RR,37.5,2002
0.1745869630519675,1500107,ABAETETUBA,1799.79,PA,18.2,2002
0.4331628926223521,1500131,ABEL FIGUEIREDO,5071.49,PA,22.2,2002
0.2855908403542881,1500206,ACARA,3493.67,PA,31.8,2002
0.306499701848539,1500305,AFUA,2644.58,PA,42.5,2002
0.6038767395626242,1500347,AGUA AZUL DO NORTE,2274.43,PA,24.3,2002
0.1512497921631657,1500404,ALENQUER,2459.79,PA,16.7,2002
0.4082876077816575,1500602,ALTAMIRA,3527.85,PA,16.9,2002
0.1405418480890179,1500701,ANAJAS,1752.43,PA,46.2,2002
0.2877357437785961,1500800,ANANINDEUA,3124.4,PA,5.4,2002
0.5951026465495919,1500859,ANAPU,3980.3,PA,30.0,2002
0.2264109020885794,1500909,AUGUSTO CORREA,1494.82,PA,30.4,2002
0.3604002624671916,1500958,AURORA DO PARA,2908.53,PA,33.3,2002
0.1124459394521864,1501006,AVEIRO,1091.86,PA,22.6,2002
0.2406699970614164,1501105,BAGRE,2044.93,PA,30.8,2002
0.2536504424778761,1501204,BAIAO,2558.9,PA,18.2,2002
0.2986870897155361,1501253,BANNACH,7377.66,PA,22.2,2002
0.207063084817386,1501303,BARCARENA,16804.79,PA,12.3,2002
0.1060766782845885,1501451,BELTERRA,1757.39,PA,18.8,2002
0.2332056857272668,1501501,BENEVIDES,3767.18,PA,10.4,2002
0.3948736332676106,1501576,BOM JESUS DO TOCANTINS,2298.68,PA,33.2,2002
0.3948736332676106,1501576,BOM JESUS DO TOCANTINS,2298.68,PA,29.5,2002
0.2474232740254505,1501709,BRAGANCA,1872.34,PA,20.5,2002
0.3897046691965022,1501725,BRASIL NOVO,2802.29,PA,23.9,2002
0.389,1501758,BREJO GRANDE DO ARAGUAIA,2191.16,PA,24.1,2002
