Cargo;Município;Nome candidato;Número candidato;Código município;Zona;Votos nominais;Data de carga
Deputado Estadual;CAMPOS DOS GOYTACAZES;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58190;98;8;2025-09-07 03:30:58
Deputado Estadual;CAMPOS DOS GOYTACAZES;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58190;75;7;2025-09-07 03:30:58
Deputado Estadual;VASSOURAS;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;59234;41;5;2025-09-07 03:30:58
Deputado Estadual;LAJE DO MURIAÉ;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58459;112;0;2025-09-07 03:30:58
Deputado Estadual;DUQUE DE CAXIAS;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58335;126;12;2025-09-07 03:30:58
Deputado Estadual;MAGÉ;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58491;110;6;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;10;1249;2025-09-07 03:30:58
Deputado Estadual;ITAGUAÍ;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58394;105;76;2025-09-07 03:30:58
Deputado Estadual;SAPUCAIA;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;59072;61;0;2025-09-07 03:30:58
Deputado Estadual;SILVA JARDIM;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;59110;63;0;2025-09-07 03:30:58
Deputado Estadual;MANGARATIBA;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58513;54;8;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;8;101;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;216;634;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;242;51;2025-09-07 03:30:58
Deputado Estadual;DUQUE DE CAXIAS;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58335;103;32;2025-09-07 03:30:58
Deputado Estadual;DUQUE DE CAXIAS;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58335;127;57;2025-09-07 03:30:58
Deputado Estadual;MARICÁ;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58530;55;31;2025-09-07 03:30:58
Deputado Estadual;NITERÓI;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58653;144;22;2025-09-07 03:30:58
Deputado Estadual;NITERÓI;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58653;71;29;2025-09-07 03:30:58
Deputado Estadual;SEROPÉDICA;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58424;225;10;2025-09-07 03:30:58
Deputado Estadual;CAMPOS DOS GOYTACAZES;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58190;129;3;2025-09-07 03:30:58
Deputado Estadual;VARRE-SAI;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58084;43;0;2025-09-07 03:30:58
Deputado Estadual;SÃO GONÇALO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58971;68;14;2025-09-07 03:30:58
Deputado Estadual;CARMO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58238;102;0;2025-09-07 03:30:58
Deputado Estadual;ITALVA;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;59293;141;0;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;170;59;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;180;98;2025-09-07 03:30:58
Deputado Estadual;SÃO GONÇALO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58971;135;20;2025-09-07 03:30:58
Deputado Estadual;NATIVIDADE;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58610;43;0;2025-09-07 03:30:58
Deputado Estadual;MIGUEL PEREIRA;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58572;48;1;2025-09-07 03:30:58
Deputado Estadual;RIO BONITO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58858;32;2;2025-09-07 03:30:58
Deputado Estadual;CORDEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58297;52;0;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;179;284;2025-09-07 03:30:58
Deputado Estadual;MACAÉ;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58475;254;11;2025-09-07 03:30:58
Deputado Estadual;RESENDE;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58831;198;1;2025-09-07 03:30:58
Deputado Estadual;MACAÉ;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58475;109;5;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;243;151;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;182;200;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;238;131;2025-09-07 03:30:58
Deputado Estadual;ARRAIAL DO CABO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;59277;146;8;2025-09-07 03:30:58
Deputado Estadual;BARRA MANSA;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58076;94;10;2025-09-07 03:30:58
Deputado Estadual;SÃO GONÇALO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58971;133;12;2025-09-07 03:30:58
Deputado Estadual;SÃO JOÃO DE MERITI;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;59013;187;127;2025-09-07 03:30:58
Deputado Estadual;PORCIÚNCULA;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58815;45;0;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;191;42;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;16;39;2025-09-07 03:30:58
Deputado Estadual;MESQUITA;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58467;150;15;2025-09-07 03:30:58
