,nm_municipio,0,sg_uf
199,ANGUERA,0.20500552079499448,BA
200,ANGÉLICA,0.5624126223287398,MS
201,ANHANGÜERA,0.06873315363881402,GO
202,ANHEMBI,0.6980381006539664,SP
203,ANHUMAS,0.5504587155963303,SP
204,ANICUNS,0.3709605227822039,GO
205,ANITA GARIBALDI,0.3490373725934315,SC
206,ANITÁPOLIS,0.5888223552894212,SC
207,ANORI,0.12255520504731861,AM
208,ANTA GORDA,0.35830013280212486,RS
209,ANTAS,0.6543282701666421,BA
210,ANTONINA,0.43389584843151463,PR
211,ANTONINA DO NORTE,0.8923552557616639,CE
212,ANTONIO OLINTO,0.1671655537646788,PR
213,ANTÔNIO ALMEIDA,0.51010101010101,PI
214,ANTÔNIO CARDOSO,0.4568436798803291,BA
215,ANTÔNIO CARLOS,0.21938915894707878,MG
216,ANTÔNIO DIAS,0.30542693091313206,MG
217,ANTÔNIO GONÇALVES,0.6607434640522876,BA
218,ANTÔNIO JOÃO,0.16817132059626286,MS
219,ANTÔNIO MARTINS,0.1925133689839572,RN
220,ANTÔNIO PRADO,0.34347323835194454,RS
221,ANTÔNIO PRADO DE MINAS,0.4934865900383142,MG
222,ANÁPOLIS,0.04374645109231643,GO
223,ANÍSIO DE ABREU,0.7803575574645926,PI
224,APARECIDA,0.2818917507831535,PB
225,APARECIDA D'OESTE,0.4035823170731707,SP
226,APARECIDA DE GOIÂNIA,0.3537731172965292,GO
227,APARECIDA DO RIO DOCE,0.6457734330074756,GO
228,APARECIDA DO RIO NEGRO,0.422782874617737,TO
229,APARECIDA DO TABOADO,0.14397114728531046,MS
230,APERIBÉ,0.5221691115872754,RJ
231,APIACÁ,0.15875133404482392,ES
232,APIACÁS,0.22033898305084745,MT
233,APIAÍ,0.21381152849740934,SP
234,APICUM-AÇU,0.48804836895388076,MA
235,APIÚNA,0.28692058929213077,SC
236,APODI,0.20594456798828442,RN
237,APORÁ,0.2862853204686423,BA
238,APORÉ,0.4898962315674495,GO
239,APUAREMA,0.5861518825781749,BA
240,APUCARANA,0.3416754305245169,PR
241,APUIARÉS,0.5628044091258652,CE
242,APUÍ,0.2353463587921847,AM
243,AQUIDABÃ,0.22706513105639398,SE
244,AQUIDAUANA,0.08711090615632926,MS
245,AQUIRAZ,0.2378609228483892,CE
246,ARABUTÃ,0.5331207934821113,SC
247,ARACAJU,0.0630844420735534,SE
248,ARACATI,0.3749327756199582,CE
249,ARACATU,0.7673293225215799,BA
250,ARACI,0.40410421749738584,BA
251,ARACITABA,0.043916486681065514,MG
252,ARACOIABA,0.630272952853598,CE
253,ARACRUZ,0.34741629678338537,ES
254,ARAGARÇAS,0.30850173382757384,GO
255,ARAGOIÂNIA,0.20796719390743995,GO
256,ARAGOMINAS,0.583756345177665,TO
257,ARAGUACEMA,0.42120075046904315,TO
258,ARAGUAIANA,0.07060420909708079,MT
259,ARAGUAINHA,0.04946996466431095,MT
260,ARAGUANÃ,0.30070621468926556,MA
261,ARAGUAPAZ,0.21401334604385128,GO
262,ARAGUARI,0.05890234848896373,MG
263,ARAGUATINS,0.3743473856463804,TO
264,ARAGUAÇU,0.30869881269687427,TO
265,ARAGUAÍNA,0.37667759783880617,TO
266,ARAIOSES,0.5277505619272664,MA
267,ARAL MOREIRA,0.2524013897404455,MS
268,ARAMARI,0.075509461426492,BA
269,ARAMBARÉ,0.416,RS
270,ARAME,0.8607316690218244,MA
271,ARAMINA,0.2253913043478261,SP
272,ARANDU,0.6729963697291259,SP
273,ARANTINA,0.007162534435261708,MG
274,ARAPEÍ,0.10583707504810776,SP
275,ARAPIRACA,0.1710874584670834,AL
276,ARAPOEMA,0.5696734561914,TO
277,ARAPONGA,0.17367674858223062,MG
278,ARAPONGAS,0.3985041078902496,PR
279,ARAPORÃ,0.2728794642857143,MG
280,ARAPOTI,0.2952800914584354,PR
281,ARAPUTANGA,0.6395690499510284,MT
282,ARAPUÁ,0.0650759219088937,MG
283,ARAPUÃ,0.6210045662100456,PR
284,ARAQUARI,0.36156186612576063,SC
285,ARARA,0.5600920069005175,PB
286,ARARANGUÁ,0.7138383187964643,SC
287,ARARAQUARA,0.17402664153852743,SP
288,ARARAS,0.2089828096632264,SP
289,ARARENDÁ,0.314209726443769,CE
290,ARARI,0.5128379913655987,MA
291,ARARICÁ,0.668976897689769,RS
292,ARARIPE,0.380327868852459,CE
293,ARARIPINA,0.1879467141307673,PE
294,ARARUAMA,0.34569778598453993,RJ
295,ARARUNA,0.30160716638124097,PB
296,ARATACA,0.6431729518855657,BA
297,ARATIBA,0.17371989712415245,RS
298,ARATUBA,0.394168303369089,CE
299,ARATUÍPE,0.42917495029821073,BA
300,ARAUCÁRIA,0.3251981967977615,PR
301,ARAUÁ,0.14196699225328394,SE
302,ARAXÁ,0.3074980058495081,MG
303,ARAÇAGI,0.40475588160890463,PB
304,ARAÇARIGUAMA,0.4470813181869306,SP
305,ARAÇATUBA,0.23707597389580595,SP
306,ARAÇAÍ,0.5362407862407862,MG
307,ARAÇOIABA,0.31395713538944064,PE
308,ARAÇOIABA DA SERRA,0.24299876980968232,SP
309,ARAÇU,0.08813008130081301,GO
310,ARAÇUAÍ,0.06104343220338983,MG
311,ARAÇÁS,0.4151364338424575,BA
312,ARAÚJOS,0.357666015625,MG
313,ARCEBURGO,0.1397544853635505,MG
314,ARCO-ÍRIS,0.5924170616113744,SP
315,ARCOS,0.11245067952652346,MG
316,ARCOVERDE,0.6253167088945193,PE
317,AREADO,0.2063141483694946,MG
318,AREAL,0.6573238321456849,RJ
319,AREALVA,0.4485782620249801,SP
320,AREIA,0.13326895219700627,PB
321,AREIA BRANCA,0.12910786659504858,RN
322,AREIA DE BARAÚNAS,0.024786986831913247,PB
323,AREIAL,0.763799383580835,PB
324,AREIAS,0.1456082667919211,SP
325,AREIÓPOLIS,0.561036036036036,SP
326,ARENÁPOLIS,0.08580413297394429,MT
327,ARENÓPOLIS,0.11143695014662756,GO
328,ARGIRITA,0.3146708138932089,MG
329,ARICANDUVA,0.4130702836004932,MG
330,ARINOS,0.4503001200480192,MG
331,ARIPUANÃ,0.06659371580428326,MT
332,ARIQUEMES,0.09524811256807611,RO
333,ARIRANHA,0.39250780437044747,SP
334,ARIRANHA DO IVAÍ,0.44204685573366215,PR
335,ARMAZÉM,0.5269565217391304,SC
336,ARMAÇÃO DOS BÚZIOS,0.3167198298777246,RJ
337,ARNEIROZ,0.8064806480648065,CE
338,AROAZES,0.6042634599617381,PI
339,AROEIRAS,0.7043885313048567,PB
340,AROEIRAS DO ITAIM,0.7117545375972342,PI
341,ARRAIAL,0.45593419506462984,PI
342,ARRAIAL DO CABO,0.33395986175953435,RJ
343,ARRAIAS,0.47739754964089565,TO
344,ARROIO DO MEIO,0.34173297966401417,RS
345,ARROIO DO PADRE,0.12687651331719127,RS
346,ARROIO DO SAL,0.45827505827505827,RS
347,ARROIO DO TIGRE,0.11514914680213625,RS
348,ARROIO DOS RATOS,0.23172770095730133,RS
349,ARROIO GRANDE,0.1312286040319513,RS
350,ARROIO TRINTA,0.3468776732249786,SC
351,ARTUR NOGUEIRA,0.28053066679867333,SP
352,ARUANÃ,0.12741102961151862,GO
353,ARUJÁ,0.5568600368324125,SP
354,ARVOREDO,0.535818287711124,SC
355,ARVOREZINHA,0.054739221701921525,RS
356,ARÊS,0.2926509186351706,RN
357,ASCURRA,0.10685431326557206,SC
358,ASPÁSIA,0.44366197183098594,SP
359,ASSARÉ,0.2464271536323938,CE
360,ASSAÍ,0.38517942450838794,PR
361,ASSIS,0.31036976329364124,SP
362,ASSIS BRASIL,0.017957652103993568,AC
363,ASSIS CHATEAUBRIAND,0.7476566072245084,PR
364,ASSUNÇÃO,0.5160839160839161,PB
365,ASSUNÇÃO DO PIAUÍ,0.6659625829812915,PI
366,ASSÚ,0.04939657591916924,RN
367,ASTOLFO DUTRA,0.5279038718291055,MG
368,ASTORGA,0.7925051553722534,PR
369,ATALAIA,0.3585792896448224,AL
370,ATALAIA DO NORTE,0.012623364700481983,AM
371,ATALANTA,0.3659574468085106,SC
372,ATALÉIA,0.3335852478839178,MG
373,ATIBAIA,0.3405586933292627,SP
374,ATÍLIO VIVÁCQUA,0.12588401697312587,ES
375,AUGUSTINÓPOLIS,0.2909641728134879,TO
376,AUGUSTO CORRÊA,0.07597795645496432,PA
377,AUGUSTO DE LIMA,0.3716988569176192,MG
378,AUGUSTO PESTANA,0.14707828004410142,RS
379,AURELINO LEAL,0.7627086130826779,BA
380,AURIFLAMA,0.3258894193747112,SP
381,AURILÂNDIA,0.1927554980595084,GO
382,AURORA,0.32929241370509793,CE
383,AURORA DO PARÁ,0.018857901726427623,PA
384,AURORA DO TOCANTINS,0.4540845070422535,TO
