Municipio,Total,UF
Anitápolis,92.27,SC
Antônio Carlos,98.44,SC
Apiúna,95.03,SC
Arabutã,96.99,SC
Araquari,97.0,SC
Araranguá,97.25,SC
Armazém,95.5,SC
Arroio Trinta,96.26,SC
Arvoredo,91.81,SC
Ascurra,95.99,SC
Atalanta,96.54,SC
Aurora,97.02,SC
Balneário Arroio do Silva,96.96,SC
Balneário Camboriú,98.81,SC
Balneário Barra do Sul,96.71,SC
Balneário Gaivota,96.67,SC
Bandeirante,92.81,SC
Barra Bonita,92.12,SC
Barra Velha,97.56,SC
Bela Vista do Toldo,95.61,SC
Belmonte,92.89,SC
Benedito Novo,97.11,SC
Biguaçu,97.15,SC
Blumenau,98.61,SC
Bocaina do Sul,91.98,SC
Bombinhas,98.12,SC
Bom Jardim da Serra,94.08,SC
Bom Jesus,93.56,SC
Bom Jesus do Oeste,93.1,SC
Bom Retiro,94.41,SC
Botuverá,97.27,SC
Braço do Norte,97.53,SC
Braço do Trombudo,97.14,SC
Brunópolis,91.72,SC
Brusque,98.15,SC
Caçador,96.42,SC
Caibi,94.71,SC
Calmon,90.9,SC
Camboriú,97.85,SC
Capão Alto,92.29,SC
Campo Alegre,96.76,SC
Campo Belo do Sul,89.63,SC
Campo Erê,91.47,SC
Campos Novos,95.95,SC
Canelinha,94.3,SC
Canoinhas,97.01,SC
Capinzal,96.28,SC
Capivari de Baixo,97.46,SC
Catanduvas,96.16,SC
Caxambu do Sul,92.23,SC
Celso Ramos,93.03,SC
Cerro Negro,88.27,SC
Chapadão do Lageado,94.85,SC
Chapecó,97.29,SC
Cocal do Sul,98.13,SC
Concórdia,97.07,SC
Cordilheira Alta,96.13,SC
Coronel Freitas,93.92,SC
Coronel Martins,89.68,SC
Corupá,97.63,SC
Correia Pinto,93.96,SC
Criciúma,98.03,SC
Cunha Porã,96.78,SC
Cunhataí,96.84,SC
Curitibanos,94.74,SC
Descanso,94.97,SC
Dionísio Cerqueira,93.2,SC
Dona Emma,96.79,SC
Doutor Pedrinho,96.6,SC
Entre Rios,91.48,SC
Ermo,94.67,SC
Erval Velho,94.94,SC
Faxinal dos Guedes,94.88,SC
Flor do Sertão,88.27,SC
Florianópolis,98.64,SC
Formosa do Sul,93.4,SC
Forquilhinha,97.13,SC
Fraiburgo,95.71,SC
Frei Rogério,94.1,SC
Galvão,88.36,SC
Garopaba,95.99,SC
Garuva,95.49,SC
Gaspar,97.99,SC
Governador Celso Ramos,95.2,SC
Grão-Pará,96.94,SC
Gravatal,97.13,SC
Guabiruba,97.82,SC
Guaraciaba,95.72,SC
Guaramirim,97.8,SC
Guarujá do Sul,94.72,SC
Guatambú,94.65,SC
Herval d'Oeste,96.82,SC
Ibiam,96.61,SC
Ibicaré,95.0,SC
Ibirama,97.64,SC
Içara,97.39,SC
Ilhota,96.16,SC
Imaruí,93.15,SC
Imbituba,96.77,SC
Imbuia,96.17,SC
Indaial,98.03,SC
Iomerê,98.07,SC
Ipira,97.06,SC
Iporã do Oeste,97.22,SC
Ipuaçu,92.17,SC
Ipumirim,95.65,SC
Iraceminha,95.68,SC
Irani,94.88,SC
Irati,92.23,SC
Irineópolis,94.46,SC
Itá,95.47,SC
Itaiópolis,96.68,SC
Itajaí,98.12,SC
Itapema,98.14,SC
Itapiranga,97.81,SC
Itapoá,97.61,SC
Ituporanga,96.96,SC
Jaborá,95.34,SC
Jacinto Machado,95.01,SC
Jaguaruna,96.92,SC
Jaraguá do Sul,98.56,SC
Jardinópolis,94.94,SC
Joaçaba,97.5,SC
Joinville,98.43,SC
José Boiteux,96.2,SC
Jupiá,92.86,SC
Lacerdópolis,96.69,SC
Lages,96.41,SC
Laguna,97.1,SC
Lajeado Grande,94.19,SC
Laurentino,97.31,SC
Lauro Müller,97.01,SC
Lebon Régis,91.95,SC
Leoberto Leal,91.75,SC
Lindóia do Sul,95.53,SC
Lontras,96.42,SC
Luiz Alves,96.92,SC
Luzerna,98.19,SC
Macieira,94.44,SC
Mafra,97.56,SC
Major Gercino,94.47,SC
Major Vieira,95.06,SC
Maracajá,96.69,SC
Maravilha,97.14,SC
Marema,93.08,SC
Massaranduba,97.29,SC
Matos Costa,92.23,SC
Meleiro,95.98,SC
Mirim Doce,94.41,SC
Modelo,95.56,SC
Mondaí,96.61,SC
Monte Carlo,91.9,SC
Monte Castelo,95.35,SC
Morro da Fumaça,96.43,SC
Morro Grande,94.22,SC
Navegantes,97.31,SC
Nova Erechim,95.6,SC
Nova Itaberaba,95.56,SC
Nova Trento,96.83,SC
Nova Veneza,97.39,SC
Novo Horizonte,94.28,SC
Orleans,97.27,SC
Otacílio Costa,95.68,SC
Ouro,96.61,SC
Ouro Verde,92.72,SC
Paial,92.33,SC
Painel,91.26,SC
Palhoça,97.74,SC
Palma Sola,92.3,SC
Palmeira,93.1,SC
Palmitos,95.75,SC
Papanduva,96.1,SC
Paraíso,93.44,SC
Passo de Torres,97.46,SC
Passos Maia,92.14,SC
Paulo Lopes,93.75,SC
Pedras Grandes,96.81,SC
Penha,97.85,SC
Peritiba,97.3,SC
Pescaria Brava,95.67,SC
Petrolândia,95.6,SC
Balneário Piçarras,97.49,SC
Pinhalzinho,96.61,SC
Pinheiro Preto,97.43,SC
Piratuba,96.57,SC
Planalto Alegre,92.44,SC
Pomerode,98.63,SC
Ponte Alta,92.85,SC
Ponte Alta do Norte,92.73,SC
Ponte Serrada,93.34,SC
Porto Belo,97.69,SC
Porto União,97.35,SC
Pouso Redondo,96.19,SC
Praia Grande,94.83,SC
Presidente Castello Branco,96.94,SC
Presidente Getúlio,97.96,SC
Presidente Nereu,92.33,SC
Princesa,94.97,SC
Quilombo,94.99,SC
Rancho Queimado,96.16,SC
Rio das Antas,95.76,SC
Rio do Campo,95.18,SC
Rio do Oeste,97.36,SC
Rio dos Cedros,98.13,SC
Rio do Sul,98.03,SC
Rio Fortuna,98.84,SC
Rio Negrinho,96.66,SC
Rio Rufino,93.54,SC
Riqueza,93.9,SC
Rodeio,96.67,SC
Romelândia,92.72,SC
Salete,96.76,SC
Saltinho,92.02,SC
Salto Veloso,95.58,SC
Sangão,96.37,SC
Santa Cecília,94.18,SC
Santa Helena,96.24,SC
Santa Rosa de Lima,96.92,SC
Santa Rosa do Sul,95.72,SC
Santa Terezinha,96.58,SC
Santa Terezinha do Progresso,90.99,SC
Santiago do Sul,94.48,SC
Santo Amaro da Imperatriz,97.26,SC
São Bernardino,91.03,SC
São Bento do Sul,98.28,SC
São Bonifácio,97.77,SC
São Carlos,96.47,SC
São Cristóvão do Sul,92.97,SC
São Domingos,93.13,SC
São Francisco do Sul,97.56,SC
São João do Oeste,99.1,SC
São João Batista,97.81,SC
São João do Itaperiú,96.25,SC
São João do Sul,95.29,SC
São Joaquim,95.43,SC
São José,98.31,SC
São José do Cedro,96.47,SC
São José do Cerrito,91.33,SC
São Lourenço do Oeste,95.33,SC
São Ludgero,97.61,SC
São Martinho,97.69,SC
São Miguel da Boa Vista,93.92,SC
São Miguel do Oeste,96.69,SC
São Pedro de Alcântara,96.45,SC
Saudades,97.36,SC
Schroeder,98.01,SC
Seara,96.13,SC
Serra Alta,95.93,SC
Siderópolis,97.02,SC
Sombrio,96.76,SC
Sul Brasil,92.62,SC
Taió,97.07,SC
Tangará,97.38,SC
Tigrinhos,95.37,SC
Tijucas,96.84,SC
Timbé do Sul,94.13,SC
Timbó,98.57,SC
Timbó Grande,92.55,SC
Três Barras,95.56,SC
Treviso,97.65,SC
Treze de Maio,96.42,SC
Treze Tílias,97.16,SC
Trombudo Central,96.7,SC
Tubarão,97.88,SC
Tunápolis,97.37,SC
Turvo,96.82,SC
União do Oeste,93.71,SC
Urubici,94.8,SC
Urupema,94.31,SC
Urussanga,97.67,SC
Vargeão,94.89,SC
Vargem,94.22,SC
Vargem Bonita,94.55,SC
Vidal Ramos,96.26,SC
Videira,97.57,SC
Vitor Meireles,96.0,SC
Witmarsum,96.24,SC
Xanxerê,96.59,SC
Xavantina,95.25,SC
Xaxim,96.3,SC
Zortéa,95.41,SC
Balneário Rincão,96.56,SC
Amparo do São Francisco,81.27,SE
Aquidabã,77.69,SE
Aracaju,94.78,SE
Arauá,75.99,SE
Areia Branca,81.2,SE
Barra dos Coqueiros,93.94,SE
Boquim,80.47,SE
Brejo Grande,75.75,SE
Campo do Brito,79.48,SE
Canhoba,76.03,SE
Canindé de São Francisco,77.63,SE
Capela,79.76,SE
Carira,74.83,SE
Carmópolis,87.99,SE
Cedro de São João,84.35,SE
Cristinápolis,77.53,SE
Cumbe,78.09,SE
Divina Pastora,82.65,SE
Estância,86.08,SE
Feira Nova,76.71,SE
Frei Paulo,79.69,SE
Gararu,72.33,SE
General Maynard,85.64,SE
Gracho Cardoso,76.86,SE
Ilha das Flores,80.63,SE
Indiaroba,79.56,SE
Itabaiana,84.0,SE
Itabaianinha,78.16,SE
Itabi,74.71,SE
Itaporanga d'Ajuda,82.22,SE
Japaratuba,84.72,SE
Japoatã,76.94,SE
Lagarto,81.56,SE
Laranjeiras,87.09,SE
Macambira,80.5,SE
Malhada dos Bois,82.81,SE
Malhador,79.31,SE
Maruim,87.28,SE
Moita Bonita,80.79,SE
Monte Alegre de Sergipe,74.54,SE
Muribeca,79.9,SE
Neópolis,80.61,SE
Nossa Senhora Aparecida,74.51,SE
Nossa Senhora da Glória,80.75,SE
Nossa Senhora das Dores,79.11,SE
Nossa Senhora de Lourdes,77.22,SE
Nossa Senhora do Socorro,91.83,SE
Pacatuba,75.52,SE
Pedra Mole,82.06,SE
Pedrinhas,76.75,SE
Pinhão,78.95,SE
Pirambu,86.63,SE
Poço Redondo,73.39,SE
Poço Verde,78.07,SE
Porto da Folha,77.66,SE
Propriá,85.34,SE
Riachão do Dantas,73.91,SE
Riachuelo,87.22,SE
Ribeirópolis,79.11,SE
Rosário do Catete,86.97,SE
Salgado,80.43,SE
Santa Luzia do Itanhy,75.59,SE
Santana do São Francisco,82.73,SE
Santa Rosa de Lima,78.69,SE
Santo Amaro das Brotas,83.86,SE
São Cristóvão,91.09,SE
São Domingos,79.67,SE
São Francisco,78.98,SE
São Miguel do Aleixo,73.97,SE
Simão Dias,80.65,SE
Siriri,82.21,SE
Telha,78.59,SE
Tobias Barreto,79.92,SE
Tomar do Geru,74.03,SE
Umbaúba,81.87,SE
Adamantina,96.49,SP
Adolfo,93.22,SP
Aguaí,95.03,SP
Águas da Prata,96.85,SP
Águas de Lindóia,96.41,SP
Águas de Santa Bárbara,95.64,SP
Águas de São Pedro,98.76,SP
Agudos,96.19,SP
Alambari,95.41,SP
Alfredo Marcondes,94.64,SP
Altair,92.55,SP
Altinópolis,94.99,SP
Alto Alegre,94.27,SP
Alumínio,96.2,SP
Álvares Florence,93.51,SP
Álvares Machado,95.77,SP
Álvaro de Carvalho,93.29,SP
Alvinlândia,92.71,SP
Americana,98.33,SP
Américo Brasiliense,94.5,SP
Américo de Campos,95.45,SP
Amparo,96.78,SP
Analândia,95.55,SP
Andradina,96.26,SP
Angatuba,95.85,SP
Anhembi,94.36,SP
Anhumas,94.36,SP
Aparecida,97.03,SP
Aparecida d'Oeste,91.79,SP
Apiaí,94.01,SP
Araçariguama,94.93,SP
Araçatuba,97.4,SP
Araçoiaba da Serra,97.01,SP
Aramina,95.06,SP
Arandu,93.67,SP
Arapeí,93.72,SP
Araraquara,97.62,SP
Araras,96.81,SP
Arco-Íris,92.48,SP
Arealva,96.19,SP
Areias,93.98,SP
Areiópolis,93.72,SP
Ariranha,94.32,SP
Artur Nogueira,95.41,SP
Arujá,96.45,SP
Aspásia,90.68,SP
Assis,97.38,SP
Atibaia,96.55,SP
Auriflama,94.83,SP
Avaí,93.86,SP
Avanhandava,94.77,SP
Avaré,96.58,SP
Bady Bassitt,97.56,SP
Balbinos,97.07,SP
Bálsamo,96.34,SP
Bananal,94.62,SP
Barão de Antonina,94.22,SP
Barbosa,92.55,SP
Bariri,96.13,SP
Barra Bonita,96.05,SP
Barra do Chapéu,91.19,SP
Barra do Turvo,87.77,SP
Barretos,97.62,SP
Barrinha,93.74,SP
Barueri,97.39,SP
Bastos,95.8,SP
Batatais,96.31,SP
Bauru,97.9,SP
Bebedouro,97.31,SP
Bento de Abreu,94.2,SP
Bernardino de Campos,96.71,SP
Bertioga,96.46,SP
Bilac,95.66,SP
Birigui,96.71,SP
Biritiba Mirim,94.09,SP
Boa Esperança do Sul,92.6,SP
Bocaina,94.99,SP
Bofete,94.29,SP
Boituva,96.98,SP
Bom Jesus dos Perdões,95.63,SP
Bom Sucesso de Itararé,94.21,SP
Borá,94.36,SP
Boracéia,95.1,SP
Borborema,94.2,SP
Borebi,96.56,SP
Botucatu,97.43,SP
Bragança Paulista,97.28,SP
Braúna,92.22,SP
Brejo Alegre,93.68,SP
Brodowski,96.82,SP
Brotas,96.8,SP
Buri,93.87,SP
Buritama,94.49,SP
Buritizal,94.85,SP
Cabrália Paulista,93.76,SP
Cabreúva,96.3,SP
Caçapava,97.07,SP
Cachoeira Paulista,96.49,SP
Caconde,94.72,SP
Cafelândia,94.25,SP
Caiabu,92.84,SP
Caieiras,97.25,SP
Caiuá,92.93,SP
Cajamar,96.53,SP
Cajati,93.55,SP
Cajobi,94.68,SP
Cajuru,95.16,SP
Campina do Monte Alegre,94.63,SP
Campinas,97.59,SP
Campo Limpo Paulista,96.77,SP
Campos do Jordão,96.46,SP
Campos Novos Paulista,93.27,SP
Cananéia,95.28,SP
Canas,95.86,SP
Cândido Mota,95.31,SP
Cândido Rodrigues,94.55,SP
Canitar,93.68,SP
Capão Bonito,94.21,SP
Capela do Alto,95.58,SP
Capivari,96.91,SP
Caraguatatuba,96.49,SP
Carapicuíba,96.62,SP
Cardoso,93.44,SP
Casa Branca,95.98,SP
Cássia dos Coqueiros,92.98,SP
Castilho,93.53,SP
Catanduva,96.8,SP
Catiguá,95.05,SP
Cedral,96.8,SP
Cerqueira César,95.42,SP
Cerquilho,97.68,SP
Cesário Lange,95.54,SP
Charqueada,95.24,SP
Clementina,93.8,SP
Colina,95.48,SP
Colômbia,92.55,SP
Conchal,93.88,SP
Conchas,96.19,SP
Cordeirópolis,97.08,SP
Coroados,95.78,SP
Coronel Macedo,91.25,SP
Corumbataí,94.86,SP
Cosmópolis,96.64,SP
Cosmorama,94.0,SP
Cotia,96.94,SP
Cravinhos,95.88,SP
Cristais Paulista,94.3,SP
Cruzália,94.57,SP
Cruzeiro,97.74,SP
Cubatão,95.45,SP
Cunha,93.26,SP
Descalvado,96.19,SP
Diadema,96.78,SP
Dirce Reis,90.72,SP
Divinolândia,95.06,SP
Dobrada,90.77,SP
Dois Córregos,94.19,SP
Dolcinópolis,92.44,SP
Dourado,95.13,SP
Dracena,96.53,SP
Duartina,95.73,SP
Dumont,96.08,SP
Echaporã,94.69,SP
Eldorado,92.38,SP
Elias Fausto,94.67,SP
Elisiário,93.67,SP
Embaúba,93.81,SP
Embu das Artes,95.75,SP
Embu-Guaçu,95.43,SP
Emilianópolis,92.43,SP
Engenheiro Coelho,94.26,SP
Espírito Santo do Pinhal,96.01,SP
Espírito Santo do Turvo,91.66,SP
Estrela d'Oeste,94.05,SP
Estrela do Norte,92.42,SP
Euclides da Cunha Paulista,88.36,SP
Fartura,95.36,SP
Fernandópolis,96.22,SP
Fernando Prestes,93.65,SP
Fernão,94.95,SP
Ferraz de Vasconcelos,96.15,SP
Flora Rica,91.82,SP
Floreal,93.7,SP
Flórida Paulista,94.71,SP
Florínea,93.24,SP
Franca,97.88,SP
Francisco Morato,94.88,SP
Franco da Rocha,95.96,SP
Gabriel Monteiro,94.75,SP
Gália,93.43,SP
Garça,95.89,SP
Gastão Vidigal,90.92,SP
Gavião Peixoto,94.26,SP
General Salgado,93.79,SP
Getulina,94.52,SP
Glicério,94.08,SP
Guaiçara,95.56,SP
Guaimbê,92.83,SP
Guaíra,96.07,SP
Guapiaçu,95.26,SP
Guapiara,91.3,SP
Guará,93.72,SP
Guaraçaí,93.2,SP
Guaraci,93.48,SP
Guarani d'Oeste,91.89,SP
Guarantã,92.76,SP
Guararapes,95.22,SP
Guararema,95.21,SP
Guaratinguetá,97.67,SP
Guareí,95.07,SP
Guariba,94.05,SP
Guarujá,96.15,SP
Guarulhos,96.78,SP
Guatapará,93.33,SP
Guzolândia,90.03,SP
Herculândia,94.53,SP
Holambra,96.51,SP
Hortolândia,96.93,SP
Iacanga,96.52,SP
Iacri,93.42,SP
Iaras,94.63,SP
Ibaté,95.08,SP
Ibirá,94.85,SP
Ibirarema,94.59,SP
Ibitinga,96.45,SP
Ibiúna,93.94,SP
Icém,95.39,SP
Iepê,95.12,SP
Igaraçu do Tietê,94.19,SP
Igarapava,94.84,SP
Igaratá,92.85,SP
Iguape,94.18,SP
Ilhabela,96.72,SP
Ilha Comprida,95.84,SP
Ilha Solteira,96.63,SP
Indaiatuba,97.88,SP
Indiana,95.47,SP
Indiaporã,91.57,SP
Inúbia Paulista,94.03,SP
Ipaussu,95.44,SP
Iperó,95.97,SP
Ipeúna,95.56,SP
Ipiguá,95.98,SP
Iporanga,93.31,SP
Ipuã,94.77,SP
Iracemápolis,97.13,SP
Irapuã,92.93,SP
Irapuru,94.2,SP
Itaberá,94.59,SP
Itaí,93.88,SP
Itajobi,95.56,SP
Itaju,94.82,SP
Itanhaém,95.92,SP
Itaoca,90.08,SP
Itapecerica da Serra,95.52,SP
Itapetininga,96.87,SP
Itapeva,95.59,SP
Itapevi,96.31,SP
Itapira,96.41,SP
Itapirapuã Paulista,90.09,SP
Itápolis,95.15,SP
Itaporanga,92.35,SP
Itapuí,94.82,SP
Itapura,93.28,SP
Itaquaquecetuba,95.3,SP
Itararé,95.61,SP
Itariri,93.93,SP
Itatiba,97.41,SP
Itatinga,94.27,SP
Itirapina,96.51,SP
Itirapuã,93.82,SP
Itobi,94.21,SP
Itu,96.51,SP
Itupeva,97.41,SP
Ituverava,95.44,SP
Jaborandi,95.01,SP
Jaboticabal,96.57,SP
Jacareí,97.3,SP
Jaci,93.43,SP
Jacupiranga,94.44,SP
Jaguariúna,97.5,SP
Jales,96.27,SP
Jambeiro,94.16,SP
Jandira,96.95,SP
Jardinópolis,96.11,SP
Jarinu,96.08,SP
Jaú,96.92,SP
Jeriquara,94.33,SP
Joanópolis,93.62,SP
João Ramalho,90.98,SP
José Bonifácio,95.96,SP
Júlio Mesquita,93.8,SP
Jumirim,96.27,SP
Jundiaí,97.98,SP
Junqueirópolis,95.28,SP
Juquiá,93.08,SP
Juquitiba,92.18,SP
Lagoinha,93.87,SP
Laranjal Paulista,96.6,SP
Lavínia,96.52,SP
Lavrinhas,95.69,SP
Leme,95.38,SP
Lençóis Paulista,96.56,SP
Limeira,97.2,SP
Lindóia,96.52,SP
Lins,97.01,SP
Lorena,97.24,SP
Lourdes,89.82,SP
Louveira,96.53,SP
Lucélia,95.01,SP
Lucianópolis,93.24,SP
Luís Antônio,95.66,SP
Luiziânia,92.51,SP
Lupércio,91.68,SP
Lutécia,93.78,SP
Macatuba,94.94,SP
Macaubal,94.62,SP
Macedônia,93.59,SP
Magda,94.16,SP
Mairinque,96.15,SP
Mairiporã,95.82,SP
Manduri,95.21,SP
Marabá Paulista,93.58,SP
Maracaí,94.84,SP
Marapoama,94.9,SP
Mariápolis,94.75,SP
Marília,97.37,SP
Marinópolis,89.71,SP
Martinópolis,94.09,SP
Matão,96.26,SP
Mauá,96.74,SP
Mendonça,94.81,SP
Meridiano,94.34,SP
Mesópolis,88.97,SP
Miguelópolis,92.55,SP
Mineiros do Tietê,94.11,SP
Miracatu,92.09,SP
Mira Estrela,94.57,SP
Mirandópolis,95.27,SP
Mirante do Paranapanema,91.74,SP
Mirassol,97.18,SP
Mirassolândia,95.3,SP
Mococa,96.42,SP
Mogi das Cruzes,97.07,SP
Mogi Guaçu,97.19,SP
Mogi Mirim,96.95,SP
Mombuca,92.93,SP
Monções,94.22,SP
Mongaguá,96.17,SP
Monte Alegre do Sul,95.79,SP
Monte Alto,96.69,SP
Monte Aprazível,96.21,SP
Monte Azul Paulista,95.2,SP
Monte Castelo,92.54,SP
Monteiro Lobato,91.9,SP
Monte Mor,95.58,SP
Morro Agudo,94.85,SP
Morungaba,96.36,SP
Motuca,93.0,SP
Murutinga do Sul,94.34,SP
Nantes,92.51,SP
Narandiba,93.9,SP
Natividade da Serra,89.4,SP
Nazaré Paulista,92.91,SP
Neves Paulista,95.08,SP
Nhandeara,94.4,SP
Nipoã,92.91,SP
Nova Aliança,95.4,SP
Nova Campina,92.23,SP
Nova Canaã Paulista,94.22,SP
Nova Castilho,95.9,SP
Nova Europa,94.53,SP
Nova Granada,94.67,SP
Nova Guataporanga,89.96,SP
Nova Independência,96.12,SP
Novais,94.59,SP
Nova Luzitânia,93.87,SP
Nova Odessa,97.87,SP
Novo Horizonte,94.66,SP
Nuporanga,95.47,SP
Ocauçu,93.72,SP
Óleo,94.9,SP
Olímpia,96.55,SP
Onda Verde,94.29,SP
Oriente,95.81,SP
Orindiúva,93.96,SP
Orlândia,96.45,SP
Osasco,97.19,SP
Oscar Bressane,94.17,SP
Osvaldo Cruz,96.3,SP
Ourinhos,96.76,SP
Ouroeste,94.47,SP
Ouro Verde,91.79,SP
Pacaembu,95.09,SP
Palestina,93.53,SP
Palmares Paulista,93.13,SP
Palmeira d'Oeste,93.94,SP
Palmital,96.0,SP
Panorama,93.33,SP
Paraguaçu Paulista,95.39,SP
Paraibuna,93.34,SP
Paraíso,94.06,SP
Paranapanema,94.31,SP
Paranapuã,93.23,SP
Parapuã,93.28,SP
Pardinho,94.75,SP
Pariquera-Açu,95.07,SP
Parisi,93.28,SP
Patrocínio Paulista,95.84,SP
Paulicéia,94.79,SP
Paulínia,97.81,SP
Paulistânia,92.4,SP
Paulo de Faria,92.76,SP
Pederneiras,95.39,SP
Pedra Bela,92.72,SP
Pedranópolis,94.25,SP
Pedregulho,94.0,SP
Pedreira,96.74,SP
Pedrinhas Paulista,95.07,SP
Pedro de Toledo,92.67,SP
Penápolis,96.81,SP
Pereira Barreto,94.57,SP
Pereiras,95.24,SP
Peruíbe,95.99,SP
Piacatu,92.93,SP
Piedade,95.42,SP
Pilar do Sul,94.89,SP
Pindamonhangaba,97.42,SP
Pindorama,95.0,SP
Pinhalzinho,96.2,SP
Piquerobi,92.15,SP
Piquete,96.71,SP
Piracaia,94.53,SP
Piracicaba,97.62,SP
Piraju,96.7,SP
Pirajuí,94.79,SP
Pirangi,94.89,SP
Pirapora do Bom Jesus,95.39,SP
Pirapozinho,95.6,SP
Pirassununga,96.92,SP
Piratininga,96.52,SP
Pitangueiras,94.49,SP
Planalto,92.08,SP
Platina,93.45,SP
Poá,97.35,SP
Poloni,93.71,SP
Pompéia,96.42,SP
Pongaí,95.23,SP
Pontal,94.14,SP
Pontalinda,89.36,SP
Pontes Gestal,91.58,SP
Populina,91.74,SP
Porangaba,94.67,SP
Porto Feliz,96.45,SP
Porto Ferreira,96.16,SP
Potim,95.25,SP
Potirendaba,95.63,SP
Pracinha,95.97,SP
Pradópolis,94.3,SP
Praia Grande,97.3,SP
Pratânia,91.48,SP
Presidente Alves,93.86,SP
Presidente Bernardes,95.48,SP
Presidente Epitácio,95.16,SP
Presidente Prudente,97.54,SP
Presidente Venceslau,95.29,SP
Promissão,96.37,SP
Quadra,94.35,SP
Quatá,93.0,SP
Queiroz,92.98,SP
Queluz,95.38,SP
Quintana,94.62,SP
Rafard,95.72,SP
Rancharia,95.09,SP
Redenção da Serra,92.09,SP
Regente Feijó,95.61,SP
Reginópolis,93.4,SP
Registro,96.37,SP
Restinga,95.33,SP
Ribeira,91.18,SP
Ribeirão Bonito,93.1,SP
Ribeirão Branco,90.9,SP
Ribeirão Corrente,92.77,SP
Ribeirão do Sul,93.35,SP
Ribeirão dos Índios,91.67,SP
Ribeirão Grande,91.52,SP
Ribeirão Pires,97.18,SP
Ribeirão Preto,97.95,SP
Riversul,91.36,SP
Rifaina,95.45,SP
Rincão,94.06,SP
Rinópolis,94.03,SP
Rio Claro,97.43,SP
Rio das Pedras,96.6,SP
Rio Grande da Serra,95.79,SP
Riolândia,92.59,SP
Rosana,94.18,SP
Roseira,96.75,SP
Rubiácea,92.08,SP
Rubinéia,95.71,SP
Sabino,94.38,SP
Sagres,91.11,SP
Sales,93.54,SP
Sales Oliveira,96.85,SP
Salesópolis,94.04,SP
Salmourão,89.89,SP
Saltinho,97.91,SP
Salto,97.41,SP
Salto de Pirapora,96.65,SP
Salto Grande,92.73,SP
Sandovalina,94.51,SP
Santa Adélia,95.62,SP
Santa Albertina,92.83,SP
Santa Bárbara d'Oeste,97.41,SP
Santa Branca,94.99,SP
Santa Clara d'Oeste,93.69,SP
Santa Cruz da Conceição,96.29,SP
Santa Cruz da Esperança,95.67,SP
Santa Cruz das Palmeiras,94.12,SP
Santa Cruz do Rio Pardo,96.51,SP
Santa Ernestina,95.12,SP
Santa Fé do Sul,96.25,SP
Santa Gertrudes,96.79,SP
Santa Isabel,94.57,SP
Santa Lúcia,93.83,SP
Santa Maria da Serra,93.38,SP
Santa Mercedes,93.69,SP
Santana da Ponte Pensa,92.45,SP
Santana de Parnaíba,97.01,SP
Santa Rita d'Oeste,92.45,SP
Santa Rita do Passa Quatro,96.48,SP
Santa Rosa de Viterbo,96.62,SP
Santa Salete,94.95,SP
Santo Anastácio,95.94,SP
Santo André,97.99,SP
Santo Antônio da Alegria,95.64,SP
Santo Antônio de Posse,96.26,SP
Santo Antônio do Aracanguá,94.25,SP
Santo Antônio do Jardim,93.99,SP
Santo Antônio do Pinhal,95.67,SP
Santo Expedito,93.23,SP
Santópolis do Aguapeí,93.0,SP
Santos,98.4,SP
São Bento do Sapucaí,96.19,SP
São Bernardo do Campo,97.6,SP
São Caetano do Sul,98.84,SP
São Carlos,97.5,SP
São Francisco,91.49,SP
São João da Boa Vista,97.27,SP
São João das Duas Pontes,91.63,SP
São João de Iracema,92.63,SP
São João do Pau d'Alho,94.15,SP
São Joaquim da Barra,96.53,SP
São José da Bela Vista,93.24,SP
São José do Barreiro,92.14,SP
São José do Rio Pardo,96.9,SP
São José do Rio Preto,97.84,SP
São José dos Campos,97.86,SP
São Lourenço da Serra,93.56,SP
São Luiz do Paraitinga,92.82,SP
São Manuel,95.44,SP
São Miguel Arcanjo,94.79,SP
São Paulo,97.42,SP
São Pedro,96.47,SP
São Pedro do Turvo,93.82,SP
São Roque,96.29,SP
São Sebastião,95.62,SP
São Sebastião da Grama,95.75,SP
São Simão,96.22,SP
São Vicente,96.77,SP
Sarapuí,95.67,SP
Sarutaiá,92.8,SP
Sebastianópolis do Sul,92.94,SP
Serra Azul,94.16,SP
Serrana,95.53,SP
Serra Negra,96.46,SP
Sertãozinho,96.14,SP
Sete Barras,91.36,SP
Severínia,92.42,SP
Silveiras,91.76,SP
Socorro,95.49,SP
Sorocaba,97.92,SP
Sud Mennucci,93.17,SP
Sumaré,96.5,SP
Suzano,96.61,SP
Suzanápolis,92.14,SP
Tabapuã,94.5,SP
Tabatinga,94.02,SP
Taboão da Serra,97.23,SP
Taciba,94.26,SP
Taguaí,95.53,SP
Taiaçu,92.03,SP
Taiúva,94.34,SP
Tambaú,96.31,SP
Tanabi,94.73,SP
Tapiraí,92.67,SP
Tapiratiba,95.76,SP
Taquaral,92.23,SP
Taquaritinga,95.02,SP
Taquarituba,94.77,SP
Taquarivaí,93.62,SP
Tarabai,93.57,SP
Tarumã,94.33,SP
Tatuí,97.12,SP
Taubaté,97.82,SP
Tejupá,90.6,SP
Teodoro Sampaio,93.8,SP
Terra Roxa,96.07,SP
Tietê,97.55,SP
Timburi,93.95,SP
Torre de Pedra,94.97,SP
Torrinha,96.22,SP
Trabiju,91.17,SP
Tremembé,97.2,SP
Três Fronteiras,93.49,SP
